,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29
Escherichia_coli_str_K-12_substr_MG1655_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,250058.5259,2.22E-16,242.6319682,2.22E-16,2009.816338,2.22E-16,73.99974975,1625.88741,2.22E-16,1102.60571,2.22E-16,2.22E-16,185.5795462,2.22E-16,3.62E-05,7938.008128,2.22E-16,4191.231635,3438.658954,1292.877689,2.22E-16,1933.865196,2.22E-16,2.22E-16
Escherichia_coli_BL21,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,144787.7787,2.22E-16,405.3468758,333.1648756,1034.243091,2.22E-16,0.132311093,2.22E-16,2.22E-16,1718.514894,2.22E-16,2.22E-16,43.23087032,2.22E-16,2.22E-16,3589.774199,2.22E-16,1302.167071,2.22E-16,1.178984893,2.22E-16,695.037929,728.2735543,2.22E-16
Escherichia_coli_O157_H7_str_EDL933_,1045.435199,2.22E-16,262.0706329,10660.30609,2.22E-16,96315.61358,4303.75968,855.8904135,1264.27257,2.22E-16,2814.142808,3529.276368,1860.754806,2.22E-16,2.22E-16,308.4054032,1155.143921,1942.941431,3440.790643,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4605.005066,1824.518001,2.22E-16,1.80E-14,2.22E-16,987.6553136
Citrobacter_rodentium_ICC168_,10605.1437,2.22E-16,2.22E-16,2.22E-16,2.22E-16,87062.59837,3516.481719,2.22E-16,2.22E-16,606.7623237,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2900.689944,13003.7838,2.22E-16,2.22E-16,2.22E-16,4655.996098,2.22E-16,2541.552467,2.22E-16,2.22E-16,2.22E-16,2.22E-16,194.9708593,2.22E-16
Escherichia_coli_ATCC_8739_,2.22E-16,2.22E-16,2.22E-16,8279.813793,2.22E-16,73378.56637,2.22E-16,709.0484532,85.17018003,144.947453,3099.746813,1373.67745,1809.485801,2.22E-16,2.22E-16,4654.75487,2.22E-16,2407.252814,2952.889861,4966.179949,2.22E-16,2.22E-16,2.22E-16,58.10428304,1054.095522,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Escherichia_coli_CFT073_,975.4790771,2.22E-16,2.22E-16,11400.51292,2.22E-16,54884.67343,3.90E-13,1115.768386,1.77E-13,2.22E-16,418.7537996,17.85094685,754.7282063,2.22E-16,145.2830196,2.22E-16,868.1318562,1100.649988,1305.198022,36732.88019,2.22E-16,2.22E-16,2.22E-16,4032.37515,813.6851032,2.22E-16,3423.920642,0.070005315,4223.696815
Enterobacter_cloacae_EcWSU1_,2.22E-16,2.22E-16,2.22E-16,33939.77259,2.22E-16,31852.19259,2.22E-16,2.22E-16,493.3877605,1195.353963,2280.741224,2.22E-16,312.4113473,5384.847886,4470.029851,2.22E-16,2368.857252,1251.417902,4280.177472,43407.241,2.22E-16,2.22E-16,2.22E-16,6375.570801,1758.822167,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Aliivibrio_salmonicida_LFI1238_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,14129.49138,2.22E-16,2.22E-16,526.1589972,2772.00438,1.41E-09,2.22E-16,33.08355994,2674.16078,6632.471658,4024.633624,2.22E-16,39.861057,149.5552984,2.22E-16,2.22E-16,2.22E-16,2.22E-16,398.9797966,111.0524342,2.22E-16,139.3029767,2.22E-16,2.22E-16
Escherichia_coli_536_,2.22E-16,2.22E-16,2.22E-16,66249.08759,2.22E-16,12135.92495,778.4328904,547.8862944,81.76932475,3290.981251,388.264363,128.4524374,2.22E-16,2.22E-16,3928.449854,2.22E-16,1607.394473,446.3349123,4.52E-07,2.22E-16,2216.145895,2.22E-16,2.22E-16,296.8906405,598.2046629,2.22E-16,2.22E-16,455.1964388,2.22E-16
Citrobacter_farmeri_GTC_1319_,2.22E-16,2.22E-16,2.22E-16,14983.0944,2.22E-16,11363.95451,2466.22868,6.45E-13,94.96656002,2.22E-16,2.22E-16,2.22E-16,1.44E-07,2.22E-16,2.22E-16,2.22E-16,1474.250062,3016.200492,5140.421153,102820.8907,604.7558818,2.22E-16,1544.099311,4337.639122,1343.402691,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Erwinia_amylovora_CFBP1430_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,5287.319623,2.22E-16,2.22E-16,2.22E-16,4310.441059,605.3545344,2.22E-16,11.99895748,5075.109656,574.5680628,2.22E-16,2.22E-16,2.22E-16,1021.003751,28201.47258,2780.587442,2.22E-16,2.22E-16,2.22E-16,174.3934546,2.22E-16,91.99417238,192.3320613,2.22E-16
Escherichia_albertii_KF1_,2.22E-16,2.22E-16,2.22E-16,39826.58548,5090.97543,3125.621618,4923.159107,4503.220055,1238.361788,2.22E-16,3687.744166,1330.270824,1258.644435,2.22E-16,2.22E-16,94.33317222,4.01E-12,857.1427581,2.22E-16,36442.68278,2.22E-16,2.22E-16,2.22E-16,5570.284552,875.4069634,2.22E-16,2.79E-09,2.22E-16,2.22E-16
