,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27
Burkholderia_cepacia_,0.458514821,2.22E-16,2.46232639,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3.30475943,0.468623572,2.22E-16,10.01036948,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,3.892983322,2.22E-16,2.22E-16,1.705724074,1.735172199,0.001228648,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Pseudomonas_oleovorans_,2.22E-16,2.22E-16,1.516945884,2.22E-16,0.225638548,2.22E-16,4.146958065,3.453674191,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,8.69E-16,0.873864494,0.533553706,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Agrobacterium_rhizogenes_,2.22E-16,2.22E-16,2.495164183,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,7.260824179,2.22E-16,1.592214834,2.22E-16,2.22E-16,2.22E-16,1.428381575,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Sinorhizobium_fredii_NGR234_,2.22E-16,2.22E-16,0.979048313,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.325017178,2.22E-16,2.22E-16,2.22E-16,3.819652719,0.284547377,0.75668804,14.84023385,2.22E-16,2.22E-16,1.54E-12,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Acinetobacter_baumannii_,2.22E-16,2.22E-16,0.941511082,2.22E-16,2.22E-16,2.22E-16,0.190535522,4.908650446,2.22E-16,0.000522554,6.09018681,2.22E-16,2.22E-16,5.647730331,2.22E-16,0.707107589,2.22E-16,2.22E-16,2.22E-16,0.674544744,0.298873672,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Alcaligenes_faecalis_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,5.597345014,2.22E-16,2.22E-16,0.172512601,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.260261858,3.781090444,2.22E-16,2.22E-16,0.052322504,2.281567094,2.91E-16,0.125252131,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Klebsiella_pneumoniae_,2.22E-16,2.22E-16,0.599449061,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.47E-11,2.22E-16,2.22E-16,2.22E-16,2.22E-16,17.94531969,2.22E-16,2.22E-16,0.423907094,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.4299081,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Pasteurella_pneumotropica_,2.22E-16,2.22E-16,0.576568811,2.22E-16,2.22E-16,2.22E-16,5.244478436,5.23E-10,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4.340858969,2.22E-16,2.22E-16,1.740167854,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.286986683,0.000775648,2.09E-15,1.088942384,8.09E-05,2.22E-16
Chlamydia_trachomatis_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.000667376,2.22E-16,0.263713242,2.22E-16,2.22E-16,3.047283898,2.22E-16,2.22E-16,2.22E-16,1.404509404,2.22E-16,2.271300877,2.22E-16,2.22E-16,4.353980173,2.22E-16,0.165864161,0.397474746,0.103264762,3.26E-13,2.22E-16,0.597457153,2.22E-16
Campylobacter_ureolyticus_,2.22E-16,2.22E-16,0.419463817,2.22E-16,6.854821076,2.22E-16,2.22E-16,2.22E-16,2.22E-16,7.21392331,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.149514404,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,0.316734073,2.22E-16,2.22E-16
