Sample	Plasmid_PPI	Chrom_PPI	Fraction
Abiotrophia_defectiva_ATCC_49176_	30806	1484	0.954
Acaricomes_phytoseiuli_DSM_14247_	0	32049	0.000
Acaryochloris_marina_MBIC11017_	63321	12412	0.836
Acetivibrio_cellulolyticus_CD2_	0	105621	0.000
Acetobacteraceae_bacterium_AT-5844_	70144	9658	0.879
Acetobacter_aceti_1023_	110655	1571	0.986
Acetobacter_aceti_ATCC_23746_	44611	3988	0.918
Acetobacterium_woodii_DSM_1030_	50148	2071	0.960
Acetobacter_malorum_	38417	2958	0.929
Acetobacter_nitrogenifigens_DSM_23921_=_LMG_23498_	0	45920	0.000
Acetobacter_okinawensis_JCM_25146_	47682	3539	0.931
Acetobacter_pasteurianus_3P3_	37724	1972	0.950
Acetobacter_pasteurianus_IFO_3283-01_	31880	2544	0.926
Acetohalobium_arabaticum_DSM_5501_	32112	2232	0.935
Acetonema_longum_DSM_6540_	84965	5358	0.941
Acholeplasma_axanthum_ATCC_25176_	0	26456	0.000
Acholeplasma_equifetale_ATCC_29724_	0	20518	0.000
Acholeplasma_granularum_ATCC_19168_	0	22986	0.000
Acholeplasma_hippikon_ATCC_29725_	0	21787	0.000
Acholeplasma_laidlawii_PG-8A_	18072	1060	0.945
Acholeplasma_modicum_ATCC_29102_	0	20981	0.000
Achromobacter_arsenitoxydans_SY8_	95774	11612	0.892
Achromobacter_insuavis_AXX-A_	105764	11836	0.899
Achromobacter_piechaudii_ATCC_43553_	105133	2389	0.978
Achromobacter_piechaudii_HLE_	109353	14665	0.882
Achromobacter_xylosoxidans_A8_	100589	14663	0.873
Achromobacter_xylosoxidans_NBRC_15126_=_ATCC_27061_	78772	2145	0.973
Acidaminococcus_fermentans_DSM_20731_	21471	1873	0.920
Acidaminococcus_intestini_RyC-MR95_	25886	2747	0.904
Acidimicrobium_ferrooxidans_DSM_10331_	23919	2114	0.919
Acidiphilium_angustum_ATCC_35903_	0	57911	0.000
Acidiphilium_cryptum_JF-5_	37676	4526	0.893
Acidithiobacillus_caldus_ATCC_51756_	34867	3646	0.905
Acidithiobacillus_ferrivorans_SS3_	30086	4550	0.869
Acidithiobacillus_ferrooxidans_ATCC_23270_	34130	3040	0.918
Acidithiobacillus_ferrooxidans_ATCC_53993_	27917	5268	0.841
Acidithiobacillus_thiooxidans_ATCC_19377_	42855	2738	0.940
Acidobacteria_bacterium_KBS_146_	0	56090	0.000
Acidobacteriaceae_bacterium_KBS_83_	0	78034	0.000
Acidobacteriaceae_bacterium_KBS_89_	0	74836	0.000
Acidobacteriaceae_bacterium_KBS_96_	0	94080	0.000
Acidobacteriaceae_bacterium_TAA166_	0	69778	0.000
Acidobacterium_capsulatum_ATCC_51196_	41085	2450	0.944
Acidobacterium_sp._PMMR2_	0	40656	0.000
Acidocella_facilis_ATCC_35904_	0	54288	0.000
Acidothermus_cellulolyticus_11B_	26011	1822	0.935
Acidovorax_citrulli_AAC00-1_	49301	10353	0.826
Acidovorax_ebreus_TPSY_	43568	6513	0.870
Acidovorax_sp._JHL-9_	0	66389	0.000
Acidovorax_sp._JS42_	46605	12641	0.787
Acidovorax_sp._KKS102_	47507	10011	0.826
Acidovorax_sp._MR-S7_	78238	9778	0.889
Acinetobacter_baumannii_	60603	6207	0.907
Acinetobacter_beijerinckii_CIP_110307_	38799	3616	0.915
Acinetobacter_bereziniae_	67035	9324	0.878
Acinetobacter_bohemicus_ANC_3994_	40715	2896	0.934
Acinetobacter_bouvetii_DSM_14964_=_CIP_107468_	37471	2020	0.949
Acinetobacter_brisouii_ANC_4119_	0	41758	0.000
Acinetobacter_calcoaceticus_PHEA-2_	41403	1295	0.970
Acinetobacter_gerneri_	44292	4731	0.903
Acinetobacter_guillouiae_NIPH_991_	47912	6878	0.874
Acinetobacter_gyllenbergii_NIPH_230_	48897	6218	0.887
Acinetobacter_haemolyticus_MTCC_9819_	28105	3787	0.881
Acinetobacter_indicus_CIP_110367_	38228	2053	0.949
Acinetobacter_johnsonii_SH046_	38940	1754	0.957
Acinetobacter_junii_	29020	5055	0.852
Acinetobacter_lwoffii_NCTC_5866_=_CIP_64.10_	35484	2391	0.937
Acinetobacter_lwoffii_SH145_	36859	1017	0.973
Acinetobacter_lwoffii_WJ10621_	0	37766	0.000
Acinetobacter_nectaris_CIP_110549_	30423	1906	0.941
Acinetobacter_oleivorans_DR1_	56614	8001	0.876
Acinetobacter_radioresistens_SH164_	37657	1249	0.968
Acinetobacter_rudis_CIP_110305_	42651	4139	0.912
Acinetobacter_soli_	31470	3201	0.908
Acinetobacter_sp._ADP1_	59905	1416	0.977
