,Sample,Plasmid_PPI,Chrom_PPI,Fraction,inputProteins,interactions,Plasmid_genes,cTri,loops,ccs,aPMNLE_all,cTri_all,loops_all,ccs_all,aPMNLE
1,Escherichia_coli_str_K-12_substr_MG1655,87896,27,1,4127,87922,2906,3950,4378,27,0.590133381,111313,51230,1,0.534251351
2,Escherichia_coli_BL21,61852,280,0.995,4196,62131,2664,1880,2847,91,0.570004288,66758,36250,20,0.452374183
3,Citrobacter_farmeri_GTC_1319,65171,867,0.987,4560,66037,2548,4397,4819,94,0.553646377,89755,36996,13,0.465058751
4,Escherichia_coli_O157_H7_str_EDL933,70600,4421,0.941,5772,75020,2341,9395,9522,165,0.56536605,84447,43648,38,0.491016449
5,Raoultella_ornithinolytica_B6,68545,618,0.991,4909,69162,2298,8000,7147,104,0.551950782,87407,38330,16,0.476839827
6,Enterobacter_cloacae_EcWSU1,77681,716,0.991,4619,78396,2255,6329,6904,106,0.571847306,90193,44520,20,0.50841862
7,Escherichia_coli_CFT073,71447,1884,0.974,5375,73330,2133,15442,10620,146,0.554516607,82046,41582,35,0.506819758
8,Escherichia_hermannii_NBRC_105704,71753,1084,0.985,4160,72836,2119,6135,5722,75,0.5592971,88282,40701,13,0.492003894
9,Escherichia_coli_ATCC_8739,65885,800,0.988,4200,66684,2013,8846,7404,48,0.54553832,96703,36906,8,0.514750874
10,Citrobacter_rodentium_ICC168,67691,4822,0.934,4851,72512,1992,30995,9067,98,0.544979936,109646,39897,23,0.451272455
11,Yersinia_enterocolitica_LC20,73598,4382,0.944,5381,77979,1991,10888,8290,217,0.53374574,118690,41653,52,0.467620286
12,Shigella_flexneri_2a_str_301,62021,1308,0.979,4442,63328,1989,7287,6949,144,0.574371652,69968,36244,76,0.504206879
13,Kluyvera_ascorbata_ATCC_33433,89130,743,0.992,4650,89872,1988,10862,9636,61,0.550692082,127509,48870,15,0.52100912
14,Trabulsiella_guamensis_ATCC_49490,80998,4438,0.948,4739,85435,1978,19969,10663,80,0.550141556,120088,46616,34,0.508790362
15,Buttiauxella_agrestis_ATCC_33320,85918,745,0.991,4331,86662,1970,9141,9048,47,0.571184861,103255,48795,5,0.515700598
16,Escherichia_vulneris_NBRC_102420,76738,1949,0.975,4196,78686,1958,12178,7379,83,0.548397258,118879,42854,28,0.483070636
17,Escherichia_coli_536,63119,2431,0.963,4629,65549,1957,8377,9134,66,0.56262097,73551,37907,12,0.50513231
18,Yersinia_pseudotuberculosis,65885,1754,0.974,4113,67638,1938,21616,8643,96,0.559166753,98432,36856,13,0.483832841
19,Escherichia_albertii_KF1,60562,1447,0.977,4422,62008,1922,7207,6579,130,0.55773051,81866,34816,30,0.483775811
20,Salmonella_bongori_NCTC_12419,53161,444,0.992,3864,53604,1892,NA,NA,NA,NA,NA,NA,NA,NA
21,Yersinia_massiliensis_CCUG_53443,81053,1519,0.982,4373,82571,1889,10768,8575,92,0.564044427,115256,46181,22,0.510222462
22,Yersinia_intermedia_ATCC_29909,49380,612,0.988,4122,49991,1871,2638,3913,160,0.558990394,56102,28847,27,0.437021717
23,Yersinia_aldovae_ATCC_35236,59070,1026,0.983,3967,60095,1847,6205,4780,147,0.539431149,81883,32509,32,0.477156523
24,Dickeya_dadantii_3937,62089,1864,0.971,4549,63952,1822,11078,8161,105,0.534507388,82662,33941,30,0.499902837
25,Rahnella_aquatilis_CIP_7865_equals_ATCC_33071,68451,4260,0.941,4918,72710,1806,NA,NA,NA,NA,NA,NA,NA,NA
26,Escherichia_albertii_TW07627,65025,2457,0.964,4386,67481,1802,12504,7934,123,0.545748853,82439,37116,40,0.478364143
27,Shimwellia_blattae_DSM_4481_equals_NBRC_105725,50665,1515,0.971,3904,52179,1799,7007,4984,81,0.522085275,71991,27859,16,0.443168433
28,Serratia_marcescens_subsp_marcescens_Db11,58535,2629,0.957,4716,61163,1788,7543,7725,79,0.555599934,79645,33903,19,0.456450069
29,Klebsiella_oxytoca,74383,3146,0.959,5789,77528,1759,12343,13443,75,0.541717026,102176,42563,23,0.514051041
30,Pantoea_ananatis_LMG_20103,60797,1304,0.979,4241,62100,1751,11765,8152,70,0.543492491,84506,33478,23,0.496381064
31,Pantoea_ananatis_AJ13355,56477,987,0.983,4067,57463,1743,6470,6605,71,0.55608006,69507,32317,12,0.48100162
32,Serratia_sp_DD3,79711,1081,0.987,4595,80791,1716,14665,9260,114,0.544285714,118671,43815,32,0.500761645
33,Proteus_vulgaris,50240,2074,0.96,3592,52313,1689,12754,6074,100,0.539151079,75373,28004,20,0.457420319
34,Yersinia_enterocolitica_subsp_enterocolitica_8081,60231,1902,0.969,4055,62132,1677,9406,7073,77,0.542506771,84836,33984,11,0.488411919
35,Pectobacterium_atrosepticum_SCRI1043,66615,1548,0.977,4472,68162,1674,12174,9868,67,0.552372611,91921,37529,25,0.511878869
36,Pantoea_vagans_C9-1,50760,572,0.989,3826,51331,1671,5281,5402,93,0.554504106,63682,28718,17,0.475132275
37,Pantoea_stewartii,55609,3758,0.937,4307,59366,1642,13217,8881,67,0.554348397,69256,33723,20,0.482048052
38,Edwardsiella_tarda_ATCC_15947_equals_NBRC_105688,58218,1058,0.982,3257,59275,1611,4671,4914,89,0.556978696,77031,33071,10,0.485744271
39,Pseudomonas_aeruginosa,128662,3199,0.976,6295,131860,1609,97217,33604,51,0.561227148,229460,74163,26,0.531903526
40,Providencia_rettgeri_DSM_1131,71504,1933,0.974,4754,73436,1604,15104,9772,144,0.542984268,88234,40393,36,0.487316422
41,Erwinia_tasmaniensis_Et1-99,47813,1038,0.979,3469,48850,1594,10223,5254,92,0.52103321,74258,25957,22,0.447479912
42,Citrobacter_youngae_ATCC_29220,95138,2087,0.979,5278,97224,1556,22316,15909,100,0.55589942,138078,53671,36,0.531557439
43,Erwinia_billingiae_Eb661,61883,2491,0.961,4697,64373,1544,14870,10796,75,0.535439496,88419,35406,19,0.490442184
44,Photorhabdus_asymbiotica,66874,3561,0.949,4417,70434,1528,66733,15811,112,0.529196199,127828,38312,35,0.493098756
45,Yersinia_ruckeri,43089,1746,0.961,3325,44834,1513,4435,3782,103,0.530808806,64750,24183,28,0.442897498
46,Erwinia_amylovora_CFBP1430,47933,897,0.982,3733,48829,1510,13937,6191,165,0.530616768,73263,26169,43,0.480892104
47,Yersinia_frederiksenii_ATCC_33641,71493,2743,0.963,4363,74235,1494,13879,10564,59,0.534100473,111445,39690,21,0.503198294
48,Vibrio_fischeri_ES114,58409,1520,0.975,3817,59928,1486,25281,9417,51,0.524797137,90246,31670,15,0.469059621
49,Erwinia_pyrifoliae_Ep1-96,48844,1302,0.974,3682,50145,1469,14089,6344,103,0.524757987,77086,26949,31,0.464629847
50,Achromobacter_xylosoxidans_NBRC_15126_ATCC_27061,78772,2145,0.973,6065,80916,1463,NA,NA,NA,NA,NA,NA,NA,NA
51,Yersinia_kristensenii,54980,1893,0.967,3918,56872,1457,13613,7368,64,0.517432018,89131,30209,12,0.467399117
52,Photorhabdus_luminescens_subsp_laumondii_TTO1,57079,8666,0.868,4683,65744,1451,51294,12640,122,0.53582373,105287,35248,62,0.476708075
53,Salmonella_enterica_subsp_enterica_serovar_Typhimurium,70452,2063,0.972,4443,72514,1447,16968,12616,53,0.5715625,86669,41538,10,0.518775892
54,Proteus_mirabilis_HI4320,48370,2841,0.945,3662,51210,1441,11975,6465,85,0.551405284,69211,28361,34,0.467636614
55,Providencia_stuartii_ATCC_25827,51497,4281,0.923,4737,55777,1431,14808,9130,158,0.516555556,74920,29912,56,0.460276908
56,Tatumella_ptyseos_ATCC_33301,49208,801,0.984,3340,50008,1422,4006,4487,101,0.533258498,81220,26391,22,0.47626724
57,Leclercia_adecarboxylata_ATCC_23216_equals_NBRC_102595,59530,3606,0.943,4629,63135,1413,15851,11223,52,0.528831782,86210,33632,12,0.496090356
58,Shewanella_oneidensis_MR-1,69588,991,0.986,4065,70578,1381,21299,11605,50,0.540725474,104673,37885,18,0.516413856
59,Citrobacter_amalonaticus,65470,3537,0.949,4851,69006,1367,15398,13463,51,0.528494646,95907,36984,24,0.502416065
60,Pseudomonas_protegens_Pf-5,76617,3980,0.951,6108,80596,1366,17194,17608,77,0.548252206,93548,45345,29,0.518908402
61,Xenorhabdus_nematophila_ATCC_19061,44009,6750,0.867,4549,50758,1361,17797,7773,195,0.526968363,66560,27902,69,0.463712267
62,Xenorhabdus_bovienii_SS-2004,45936,7136,0.866,4320,53071,1360,18888,8529,175,0.553306343,61820,29487,73,0.466474938
63,Pseudomonas_putida_KT2440,90435,2967,0.968,5350,93401,1356,66970,23342,43,0.531909826,164392,50119,19,0.523762301
64,Bordetella_bronchiseptica_RB50,74963,7519,0.909,4994,82481,1353,58429,24050,30,0.535676326,136857,45376,10,0.529500562
65,Aeromonas_salmonicida_subsp_salmonicida_A449,69346,2278,0.968,4093,71623,1350,20020,12885,64,0.561469878,101922,40319,31,0.532455123
66,Yersinia_pestis_CO92,68489,2185,0.969,3973,70673,1349,25477,12279,61,0.561076908,100713,39083,15,0.521938239
67,Photobacterium_phosphoreum_ANT220,74713,1782,0.977,4649,76494,1315,23155,11474,133,0.535044304,111303,40389,63,0.48188136
68,Corallococcus_coralloides_DSM_2259,116720,4077,0.966,8033,120796,1309,186900,35532,214,0.508363284,310376,63195,101,0.491523756
69,Pseudomonas_protegens_CHA0,73669,3099,0.96,6115,76767,1300,17691,17282,92,0.541230392,85885,43040,40,0.510315355
70,Pseudomonas_fluorescens_Q2-87,58370,3905,0.937,5596,62274,1291,15422,12902,111,0.539079045,65312,34828,39,0.47430752
71,Collimonas_fungivorans_Ter331,50986,1524,0.971,4432,52509,1286,7107,8585,58,0.514759221,80643,27450,21,0.496732026
72,Achromobacter_piechaudii_ATCC_43553,105133,2389,0.978,5755,107521,1276,72831,25889,67,0.533517878,196590,57706,25,0.530651065
73,Bacillus_subtilis_subsp_subtilis_str_168,81729,735,0.991,4185,82463,1263,22401,17376,22,0.557103718,116406,45420,6,0.582173932
74,Halomonas_elongata_DSM_2581,41268,1112,0.974,3471,42379,1259,NA,NA,NA,NA,NA,NA,NA,NA
75,Vibrio_proteolyticus_NBRC_13287,86620,1799,0.98,4350,88418,1255,31201,15451,62,0.550324469,156910,48139,28,0.535199838
76,Marinobacter_sp_HL-58,73473,492,0.993,3691,73964,1246,20931,12882,35,0.529901602,120453,38808,9,0.563560268
77,Pseudomonas_fluorescens_F113,154567,1380,0.991,5862,155946,1244,72391,40347,37,0.561269567,263595,86318,23,0.569141446
78,Bordetella_sp_FB-8,0,66891,0,3640,66890,1237,116343,34931,11,0.522785014,116343,34931,11,0.522785014
