"","x"
"1","aac"
"2","aaca4"
"3","aaca4_1"
"4","aaca4_2"
"5","aacc1"
"6","aacc2"
"7","aada"
"8","aada4"
"9","aaea"
"10","aaeb"
"11","aaer"
"12","aaex"
"13","aap"
"14","aas"
"15","aas_1"
"16","aas_2"
"17","aat"
"18","aata"
"19","aatb"
"20","aatc"
"21","aatd"
"22","aatp"
"23","abct4"
"24","abfa"
"25","abfb"
"26","abgr_2"
"27","abgt"
"28","abla"
"29","ablb"
"30","abpa"
"31","abpr"
"32","acad"
"33","acba"
"34","acbb"
"35","acbc"
"36","acbd"
"37","acca"
"38","accb"
"39","accc"
"40","accc-1"
"41","accc-2"
"42","accd"
"43","accd_2"
"44","accd5"
"45","acce"
"46","accf"
"47","accg"
"48","accr"
"49","acda"
"50","acds"
"51","acea"
"52","aceb"
"53","acee"
"54","acef"
"55","acek"
"56","acka"
"57","acna"
"58","acnb"
"59","acnd"
"60","acnm"
"61","acoa"
"62","acob"
"63","acoc"
"64","acoc_2"
"65","acor_1"
"66","acp"
"67","acpa"
"68","acpb"
"69","acph"
"70","acpp"
"71","acpp_2"
"72","acpp_3"
"73","acps"
"74","acpt"
"75","acr1"
"76","acra"
"77","acra_2"
"78","acrb"
"79","acrb_1"
"80","acrd"
"81","acrf"
"82","acrr"
"83","acs"
"84","acsa"
"85","acsa_2"
"86","acsf"
"87","acta"
"88","actb"
"89","actd"
"90","actiii"
"91","actp"
"92","actp_2"
"93","actp-2"
"94","acuc"
"95","acud"
"96","acvb"
"97","acyp"
"98","ada"
"99","ada_1"
"100","ada_2"
"101","adaa_1"
"102","adc"
"103","add"
"104","adda"
"105","addb"
"106","ade"
"107","adeb"
"108","adec"
"109","adek"
"110","adep"
"111","ader"
"112","ades"
"113","adh"
"114","adhb"
"115","adhc"
"116","adhe"
"117","adhe_1"
"118","adhe_2"
"119","adhp"
"120","adht"
"121","adia"
"122","adic"
"123","adic_1"
"124","adiy"
"125","adk"
"126","adra"
"127","aega"
"128","aepx"
"129","aepy"
"130","aer"
"131","aer_1"
"132","aes"
"133","afab"
"134","afsr"
"135","agaa"
"136","agab"
"137","agac"
"138","agad"
"139","agai"
"140","agar"
"141","agas"
"142","agav"
"143","agg3d"
"144","agga"
"145","aglb"
"146","agp"
"147","agpa"
"148","agua"
"149","agub"
"150","ahcy"
"151","ahpc"
"152","ahpc_2"
"153","ahpd"
"154","ahpf"
"155","aiia"
"156","ail"
"157","alaa"
"158","alac"
"159","alae"
"160","alas"
"161","alas_2"
"162","alc"
"163","ald"
"164","alda"
"165","aldb"
"166","alia"
"167","alib"
"168","alka"
"169","alkb"
"170","alkj"
"171","allb"
"172","allc"
"173","alld"
"174","alls_2"
"175","alls_8"
"176","alr"
"177","alsa"
"178","alsb"
"179","alsc"
"180","alse"
"181","alsk"
"182","alsr"
"183","alss"
"184","alx"
"185","alx_2"
"186","amaa_2"
"187","amab"
"188","amacr"
"189","amda"
"190","amia"
"191","amib"
"192","amic"
"193","amic_1"
"194","amic_2"
"195","amic_3"
"196","amid"
"197","amie"
"198","amif"
"199","aml"
"200","amn"
"201","ampc"
"202","ampd"
"203","ampe"
"204","ampg"
"205","ampg_2"
"206","amph"
"207","ampr"
"208","amrb"
"209","amrs"
"210","amt"
"211","amtb"
"212","amtb_1"
"213","amtb_2"
"214","amya"
"215","amys"
"216","angr"
"217","anmk"
"218","anr"
"219","ansa"
"220","ansb"
"221","ansp"
"222","ant1"
"223","ant1_1"
"224","ant1_2"
"225","anta"
"226","antb"
"227","antc"
"228","apag"
"229","apah"
"230","apbc"
"231","apbe"
"232","apbe_2"
"233","apc3"
"234","apc4"
"235","aph"
"236","apha"
"237","apha_1"
"238","apha1"
"239","appa"
"240","appa_2"
"241","appb"
"242","appc"
"243","apt"
"244","aqpz"
"245","aqpz2"
"246","araa"
"247","arab"
"248","arab_2"
"249","arab_3"
"250","arac"
"251","arad"
"252","arae"
"253","arae_1"
"254","arae_2"
"255","arag"
"256","arah"
"257","araj"
"258","arap"
"259","arc"
"260","arca"
"261","arca_2"
"262","arcb"
"263","arcb_2"
"264","arcc"
"265","arcc_2"
"266","arcc1"
"267","arcc1_2"
"268","arcd"
"269","arda"
"270","ardc"
"271","ardk"
"272","arfa"
"273","arfb"
"274","arga"
"275","argb"
"276","argc"
"277","arge"
"278","argf"
"279","argg"
"280","argh"
"281","argh-2"
"282","argj"
"283","argo"
"284","argp"
"285","argr"
"286","args"
"287","args_1"
"288","args_2"
"289","argt"
"290","argt_2"
"291","arir"
"292","arlr"
"293","arls"
"294","arna"
"295","arnb"
"296","arnb_2"
"297","arnc"
"298","arne"
"299","arnf"
"300","arnt"
"301","aroa"
"302","arob"
"303","aroc"
"304","arod"
"305","aroe"
"306","aroe_2"
"307","aroe-2"
"308","arof"
"309","arog"
"310","aroh"
"311","arok"
"312","arol"
"313","arop"
"314","aroq"
"315","aroq_2"
"316","arpa_1"
"317","arpa_2"
"318","arr"
"319","arsa"
"320","arsa_1"
"321","arsa_2"
"322","arsa_3"
"323","arsb"
"324","arsb_2"
"325","arsc"
"326","arsc_1"
"327","arsc_2"
"328","arsc_3"
"329","arsd"
"330","arsh"
"331","arsj"
"332","arsm"
"333","arsr"
"334","arsr2"
"335","arti_1"
"336","arti_2"
"337","arti_3"
"338","artj"
"339","artj_1"
"340","artm"
"341","artm_3"
"342","artm_4"
"343","artm_5"
"344","artp"
"345","artq"
"346","artq_2"
"347","ascb"
"348","ascd"
"349","ascf"
"350","ascg"
"351","ascg_2"
"352","ascg_3"
"353","asd"
"354","aser"
"355","asma"
"356","asna"
"357","asnb"
"358","asnc"
"359","asns"
"360","asp1"
"361","asp2"
"362","asp3"
"363","aspa"
"364","aspa_2"
"365","aspb_2"
"366","aspc"
"367","aspd"
"368","asps"
"369","aspt"
"370","asr"
"371","asra"
"372","asrb"
"373","asrc"
"374","asta"
"375","astb"
"376","astd"
"377","aste"
"378","atoc"
"379","atod"
"380","atos"
"381","atpa"
"382","atpb"
"383","atpc"
"384","atpc_2"
"385","atpd"
"386","atpe"
"387","atpf"
"388","atpg"
"389","atph"
"390","atpi"
"391","atsa"
"392","atsa_3"
"393","atsa_4"
"394","atsb"
"395","atzb"
"396","atzc"
"397","atzd"
"398","atzf"
"399","aut"
"400","avrbs3"
"401","avta"
"402","azlc"
"403","azob"
"404","azor"
"405","azor_1"
"406","azor_2"
"407","azor3"
"408","azr"
"409","azu"
"410","baca"
"411","bacd"
"412","badh"
"413","badi"
"414","baeb"
"415","baer"
"416","baes"
"417","baia1"
"418","bama"
"419","bamb"
"420","bamc"
"421","bamd"
"422","bame"
"423","bapa"
"424","bar"
"425","bara"
"426","bara_1"
"427","bara_2"
"428","bara_3"
"429","bara_4"
"430","bara_5"
"431","basc"
"432","basr"
"433","basr_2"
"434","basr_3"
