,X1,X2,X3,X4,X5,X6
aaer,2.22E-16,2.22E-16,0.012421612,2.22E-16,2.22E-16,2.22E-16
acca,2.22E-16,0.010738197,0.016265321,0.017253174,2.22E-16,2.22E-16
accb,2.22E-16,2.22E-16,0.017273777,0.013023719,0.010591182,0.008437236
accc,2.22E-16,0.030547173,0.009645017,0.020240922,0.014480582,0.023810851
acee,2.22E-16,0.005369099,0.01656215,2.22E-16,2.22E-16,2.22E-16
acef,2.22E-16,0.005369099,0.012421612,2.22E-16,2.22E-16,2.22E-16
acnb,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
acrd,2.22E-16,2.22E-16,0.012421612,2.22E-16,2.22E-16,2.22E-16
acs,2.22E-16,0.030766903,0.005612174,0.032597839,2.22E-16,2.22E-16
adhe,2.22E-16,2.22E-16,0.020702687,2.22E-16,0.008377123,2.22E-16
adhp,2.22E-16,2.22E-16,0.017273777,0.013023719,0.010591182,2.22E-16
adia,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
adic,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,0.008437236
adiy,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
aega,2.22E-16,2.22E-16,0.012421612,2.22E-16,2.22E-16,2.22E-16
aer,2.22E-16,0.010738197,0.01656215,2.22E-16,2.22E-16,2.22E-16
agab,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
agac,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
agad,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
agai,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
agar,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
agas,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
agav,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
agaw,2.22E-16,2.22E-16,0.012421612,2.22E-16,2.22E-16,2.22E-16
agp,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
alr,2.22E-16,0.053071234,0.016265321,0.017253174,2.22E-16,0.017848377
alsb,2.22E-16,2.22E-16,0.012421612,2.22E-16,2.22E-16,2.22E-16
alsc,2.22E-16,2.22E-16,0.012421612,2.22E-16,2.22E-16,2.22E-16
alse,2.22E-16,2.22E-16,0.012421612,2.22E-16,2.22E-16,2.22E-16
alsk,2.22E-16,2.22E-16,0.009392421,0.014420839,2.22E-16,2.22E-16
alx,2.22E-16,2.22E-16,0.012421612,2.22E-16,2.22E-16,2.22E-16
amid,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
ampc,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
ampd,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
ampe,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
ansb,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
apag,2.22E-16,2.22E-16,0.016265321,0.017253174,2.22E-16,2.22E-16
apah,2.22E-16,2.22E-16,0.007689091,0.026174905,2.22E-16,2.22E-16
apha,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
appa,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
appb,2.22E-16,2.22E-16,0.012421612,2.22E-16,2.22E-16,2.22E-16
appc,2.22E-16,2.22E-16,0.012421612,2.22E-16,2.22E-16,2.22E-16
araa,2.22E-16,2.22E-16,0.007689091,0.026174905,2.22E-16,2.22E-16
arab,2.22E-16,2.22E-16,0.007689091,0.026174905,2.22E-16,2.22E-16
arac,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
arad,2.22E-16,0.014891533,0.007689091,0.026174905,2.22E-16,0.010347738
arca,2.22E-16,0.019340745,0.012403406,0.036661543,2.22E-16,0.025311708
arcb,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
arcc,2.22E-16,2.22E-16,0.008281075,2.22E-16,0.050262736,0.016874472
arge,0.017863999,0.030372876,0.002160535,0.043585745,2.22E-16,2.22E-16
argf,2.22E-16,2.22E-16,0.004140537,2.22E-16,0.019368378,0.014241581
argg,2.22E-16,0.005369099,0.007689091,0.026174905,2.22E-16,0.008437236
argh,2.22E-16,0.010738197,0.007689091,0.026174905,2.22E-16,0.008437236
argr,2.22E-16,2.22E-16,0.013291286,0.031563074,2.22E-16,0.016874472
arop,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
arsb,0.126829723,2.22E-16,0.01656215,2.22E-16,0.039010771,0.016635681
arsc,0.166616506,0.037540057,0.020702687,2.22E-16,0.037809087,0.053661634
arsr,0.032193631,2.22E-16,0.014715586,0.006518176,2.22E-16,2.22E-16
artj,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
artm,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
artp,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
artq,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
asna,2.22E-16,2.22E-16,0.007689091,0.026174905,2.22E-16,2.22E-16
asnc,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
aspa,2.22E-16,0.010738197,0.01656215,2.22E-16,0.008377123,2.22E-16
baca,2.22E-16,0.005369099,0.012421612,2.22E-16,2.22E-16,2.22E-16
bama,0.011646893,0.023156545,0.012069138,0.017365095,2.22E-16,2.22E-16
basr,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
bcp,2.22E-16,2.22E-16,0.020702687,2.22E-16,2.22E-16,2.22E-16
bcsb,2.22E-16,2.22E-16,0.012069138,0.017365095,2.22E-16,2.22E-16
bcsc,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
bcse,2.22E-16,2.22E-16,0.01656215,2.22E-16,2.22E-16,2.22E-16
bcsf,2.22E-16,2.22E-16,0.012421612,2.22E-16,2.22E-16,2.22E-16
bcsg,2.22E-16,2.22E-16,0.012421612,2.22E-16,2.22E-16,2.22E-16
