"","X1","X2","X3","X4","X5","X6","X7"
"aaea",1.04902016828696e-07,2.19295428573608e-05,4.04542547591592e-07,7.16493509609584e-07,9.41386606255417e-06,1.4739884922e-06,2.6956173918732e-07
"aaeb",1.04188846057906e-07,1.99444539655878e-05,3.92024781156497e-07,5.882642402366e-07,2.85418916095075e-05,1.39882113818713e-06,2.58947143362163e-07
"aaer",1.04884984073002e-07,2.17915309135472e-05,4.03862475731391e-07,6.93739726207045e-07,1.05776582165213e-05,1.45753660889607e-06,2.68831225220314e-07
"aaex",1.04439367179667e-07,2.0629391897127e-05,3.96123490187267e-07,6.25779916354879e-07,2.18769623613646e-05,1.41940487199654e-06,2.62479364178512e-07
"aat",1.04645743645791e-07,2.27700624907937e-05,4.0543632361301e-07,2.51959415249622e-06,6.93156832648556e-07,1.58393681182055e-06,2.81749624510704e-07
"aata",1.15299472997369e-05,2.25891684942619e-05,3.98544259839577e-07,7.01164389845223e-07,6.32746213560521e-07,1.5392858666843e-06,9.1061082146996e-06
"abc.f",1.04194871773827e-07,2.62550973338324e-05,3.8069304666101e-07,2.18586868885843e-06,5.92843548721226e-07,9.14090080922442e-07,2.77465022192503e-07
"acca",1.00106572289916e-07,1.57086220290103e-05,3.36411248208821e-07,2.29012310960786e-05,5.46981391954812e-05,5.36285118805098e-06,2.40213900925732e-07
"accb",1.01966482163159e-07,1.69951932343322e-05,2.09773340520753e-05,5.16734171596745e-07,4.40928944271624e-05,2.60075049406526e-05,2.53378394372663e-07
"accc",0.000540956160440384,3.35652763488136e-06,2.48082459530553e-05,9.81621499942275e-05,3.61098028531458e-05,5.02436818367031e-05,0.000754148905274588
"accd",9.9825418483287e-08,1.8227568376767e-05,2.94563122928763e-07,2.00408507396778e-05,5.34371136250734e-07,4.64754635888944e-05,2.66040903170237e-07
"acds",1.13118610450208e-06,2.31352974529655e-05,4.07935612788477e-07,8.31924608823103e-07,6.50287358914662e-07,1.49339062013615e-06,1.074641136995e-06
"acea",2.23191173846567e-05,2.33442137296774e-05,3.654223453226e-07,8.46292515449656e-06,5.65440650470831e-07,9.9353921248069e-07,4.69672391017313e-06
"aceb",7.29888935834501e-05,2.46777306368833e-05,3.43927229801435e-07,7.93653565846762e-07,5.47562483672048e-07,9.82401365339756e-07,9.69243332976826e-06
"acee",1.15636879511152e-07,1.65280491341909e-05,3.45479221620069e-07,2.75934327977605e-05,4.68703360782069e-05,6.75276786914669e-07,2.4812392153378e-07
"acef",1.00976015217447e-07,2.11058429801705e-05,3.39309141511716e-07,1.61979443146261e-05,4.33886717693036e-05,5.720280002012e-07,2.43443183977892e-07
"acka",1.08351700713012e-07,2.89825648658628e-05,3.68105157449034e-07,5.44801281023115e-07,6.32840744950283e-07,7.40463447005763e-07,2.6548037495815e-07
"acna",0.000442163776884125,1.3722975321534e-05,2.7217342138361e-07,7.97599211653503e-05,2.08052646115593e-07,5.6904480615332e-07,1.2340906100266e-07
"acnb",1.04359712789598e-07,2.02595339994841e-05,3.940797489041e-07,5.90409889120872e-07,2.53413981448462e-05,1.39414388290995e-06,2.60560954372713e-07
"acp",1.04111232869948e-07,3.01071594057081e-05,3.61075613356121e-07,5.08781469499213e-07,5.55103933654857e-07,7.44860912436878e-07,2.64643174771172e-07
"acpa",1.05283541059714e-07,2.27743636165473e-05,4.01821400033671e-07,2.32001283070987e-06,6.34767447546928e-07,1.43781110102233e-06,1.20499263623622e-05
"acpp",0.000284857559175507,8.12851687859753e-06,1.41098746167823e-07,0.000114914214067671,8.46746543279936e-05,1.03882994075162e-05,0.000555285432489054
