Species,Proteins,ID
Pseudomonas_aeruginosa_,6295,287
Burkholderia_cepacia_,7323,292
Pseudomonas_oleovorans_,4683,301
Xanthomonas_campestris_pv._campestris_,4467,340
Agrobacterium_rhizogenes_,6425,359
Sinorhizobium_fredii_NGR234_,4038,394
Acinetobacter_baumannii_,4132,470
Alcaligenes_faecalis_,3844,511
Pantoea_agglomerans_,4914,549
Klebsiella_oxytoca_,5789,571
Klebsiella_pneumoniae_,5797,573
Proteus_vulgaris_,3592,585
Yersinia_pseudotuberculosis_,4113,633
Vibrio_vulnificus_,4512,672
Pasteurella_multocida_,2041,747
Pasteurella_pneumotropica_,2213,758
Chlamydia_trachomatis_,930,813
Campylobacter_ureolyticus_,1697,827
Desulfovibrio_vulgaris_str._Hildenborough_,3378,882
Desulfovibrio_vulgaris_str._'Miyazaki_F'_,3180,883
Flavobacterium_hydatis_,4666,991
Erythrobacter_longus_,3219,1044
Synechococcus_elongatus_PCC_7942_,2661,1140
Synechocystis_sp._PCC_6714_,3567,1147
Synechocystis_sp._PCC_6803_,3167,1148
Leuconostoc_lactis_,1607,1246
Dermacoccus_nishinomiyaensis_,2279,1274
Staphylococcus_aureus_,2992,1280
Staphylococcus_xylosus_,2512,1288
Streptococcus_pyogenes_,1846,1314
Streptococcus_iniae_,1872,1346
Bacillus_cereus_,5754,1396
Bacillus_mycoides_,5190,1405
Clostridium_sp._ATCC_29733_,3692,1507
[Clostridium]_sticklandii_,2573,1511
Lactobacillus_animalis_,1844,1605
Bifidobacterium_adolescentis_,1725,1680
Bifidobacterium_coryneforme_,1364,1687
Bifidobacterium_cuniculi_,2194,1688
Bifidobacterium_pseudolongum_subsp._globosum_,1574,1690
Bifidobacterium_magnum_,1507,1692
Bifidobacterium_minimum_,1590,1693
Oerskovia_turbata_,3508,1713
Corynebacterium_pseudotuberculosis_,2242,1719
Rhodococcus_fascians_,5502,1828
Actinoplanes_utahensis_,7339,1869
Streptomyces_aureofaciens_,8151,1894
Streptomyces_bikiniensis_,6510,1896
Streptomyces_fradiae_,6179,1906
Streptomyces_glaucescens_,6567,1907
Streptomyces_halstedii_,6564,1944
Streptomyces_sclerotialus_,6111,1957
Streptomyces_virginiae_,7383,1961
Streptomyces_cellulosae_,8893,1968
Microtetraspora_glauca_,6880,1996
Streptosporangium_amethystogenes_,8433,2002
Pimelobacter_simplex_,4663,2045
Gordonia_terrae_,4988,2055
Pseudonocardia_autotrophica_,7476,2074
Mycoplasma_agalactiae_,820,2110
Mycoplasma_californicum_,611,2113
Thermoanaerobacter_kivui_,2378,2325
Solemya_velum_gill_symbiont_,2715,2340
