"","input.Species","input.Proteins","interactions","input.ID"
"1","Pseudomonas_aeruginosa_",6295,131860,287
"2","Burkholderia_cepacia_",7323,122999,292
"3","Pseudomonas_oleovorans_",4683,132742,301
"4","Xanthomonas_campestris_pv._campestris_",4467,67256,340
"5","Agrobacterium_rhizogenes_",6425,156272,359
"6","Sinorhizobium_fredii_NGR234_",4038,58322,394
"7","Acinetobacter_baumannii_",4132,66809,470
"8","Alcaligenes_faecalis_",3844,46327,511
"9","Pantoea_agglomerans_",4914,65364,549
"10","Klebsiella_oxytoca_",5789,77528,571
"11","Klebsiella_pneumoniae_",5797,83357,573
"12","Proteus_vulgaris_",3592,52313,585
"13","Yersinia_pseudotuberculosis_",4113,67638,633
"14","Vibrio_vulnificus_",4512,77958,672
"15","Pasteurella_multocida_",2041,28254,747
"16","Pasteurella_pneumotropica_",2213,31650,758
"17","Chlamydia_trachomatis_",930,13232,813
"18","Campylobacter_ureolyticus_",1697,20108,827
"19","Desulfovibrio_vulgaris_str._Hildenborough_",3378,57795,882
"20","Desulfovibrio_vulgaris_str._'Miyazaki_F'_",3180,51083,883
"21","Flavobacterium_hydatis_",4666,71026,991
"22","Erythrobacter_longus_",3219,44004,1044
"23","Synechococcus_elongatus_PCC_7942_",2661,51188,1140
"24","Synechocystis_sp._PCC_6714_",3567,43596,1147
"25","Synechocystis_sp._PCC_6803_",3167,0,1148
"26","Leuconostoc_lactis_",1607,23444,1246
"27","Dermacoccus_nishinomiyaensis_",2279,27481,1274
"28","Staphylococcus_aureus_",2992,39969,1280
"29","Staphylococcus_xylosus_",2512,36909,1288
"30","Streptococcus_pyogenes_",1846,28215,1314
"31","Streptococcus_iniae_",1872,21996,1346
"32","Bacillus_cereus_",5754,73238,1396
"33","Bacillus_mycoides_",5190,53688,1405
"34","Clostridium_sp._ATCC_29733_",3692,40909,1507
"35","[Clostridium]_sticklandii_",2573,34714,1511
"36","Lactobacillus_animalis_",1844,33085,1605
"37","Bifidobacterium_adolescentis_",1725,22208,1680
"38","Bifidobacterium_coryneforme_",1364,16303,1687
"39","Bifidobacterium_cuniculi_",2194,25509,1688
"40","Bifidobacterium_pseudolongum_subsp._globosum_",1574,23767,1690
"41","Bifidobacterium_magnum_",1507,21872,1692
"42","Bifidobacterium_minimum_",1590,23932,1693
"43","Oerskovia_turbata_",3508,53005,1713
"44","Corynebacterium_pseudotuberculosis_",2242,35622,1719
"45","Rhodococcus_fascians_",5502,84709,1828
"46","Actinoplanes_utahensis_",7339,139361,1869
"47","Streptomyces_aureofaciens_",8151,105861,1894
"48","Streptomyces_bikiniensis_",6510,102620,1896
"49","Streptomyces_fradiae_",6179,110067,1906
"50","Streptomyces_glaucescens_",6567,71975,1907
"51","Streptomyces_halstedii_",6564,124544,1944
"52","Streptomyces_sclerotialus_",6111,117055,1957
"53","Streptomyces_virginiae_",7383,113075,1961
"54","Streptomyces_cellulosae_",8893,184200,1968
"55","Microtetraspora_glauca_",6880,110945,1996
"56","Streptosporangium_amethystogenes_",8433,139931,2002
"57","Pimelobacter_simplex_",4663,53822,2045
"58","Gordonia_terrae_",4988,87017,2055
"59","Pseudonocardia_autotrophica_",7476,144693,2074
"60","Mycoplasma_agalactiae_",820,10880,2110
"61","Mycoplasma_californicum_",611,10248,2113
"62","Thermoanaerobacter_kivui_",2378,31787,2325
"63","Solemya_velum_gill_symbiont_",2715,39569,2340
"64","Candidatus_Sodalis_pierantonius_str._SOPE_",2309,24629,2342
"65","Fervidobacterium_islandicum_",1961,28648,2423
"66","Synergistes_jonesii_",2501,36997,2754
"67","Dactylococcopsis_salina_PCC_8305_",3337,42733,13035
"68","Sphingomonas_paucimobilis_",4705,85120,13689
"69","Sphingobium_yanoikuyae_",5330,57811,13690
"70","Saccharopolyspora_rectivirgula_",3222,61877,28042
"71","Nostoc_sp._PCC_7524_",5365,63520,28072
"72","Porphyromonas_macacae_",1778,24160,28115
"73","Yersinia_kristensenii_",3918,56872,28152
"74","Candidatus_Photodesmus_katoptron_",866,19002,28176
"75","Colwellia_psychrerythraea_",4376,54976,28229
"76","Cobetia_marina_",2726,27574,28258
"77","Herbidospora_cretacea_",7328,117785,28444
"78","Streptomyces_griseoluteus_",7366,106035,29306
"79","Yersinia_ruckeri_",3325,44834,29486
"80","Vibrio_navarrensis_",3750,71462,29495
"81","Janthinobacterium_lividum_",5431,122230,29581
"82","Bifidobacterium_pseudolongum_subsp._pseudolongum_",1495,22683,31954
"83","Clavibacter_michiganensis_subsp._sepedonicus_",3056,29944,31964
"84","Campylobacter_sputorum_biovar_sputorum_",1919,32699,32024
"85","Pseudomonas_stutzeri_ATCC_14405_=_CCUG_16156_",4126,79147,32042
"86","Synechococcus_sp._PCC_7002_",2862,44714,32049
"87","Synechococcus_sp._WH_7803_",2533,29704,32051
"88","Calothrix_sp._PCC_7103_",10163,195022,32057
"89","Blautia_producta_",5212,97062,33035
"90","Catenuloplanes_japonicus_",9539,150948,33876
"91","Streptomyces_galbus_",8622,153227,33898
"92","Bifidobacterium_thermophilum_",1700,21892,33905
"93","Paracoccus_versutus_",4839,105603,34007
"94","Citrobacter_amalonaticus_",4851,69006,35703
"95","Dactylosporangium_aurantiacum_",10074,197588,35754
"96","Bifidobacterium_choerinum_",1672,23544,35760
"97","Bacillus_thermoamylovorans_",3441,58103,35841
"98","Mycobacterium_abscessus_",4942,81399,36809
"99","Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis_",611,0,36870
"100","Porphyromonas_cangingivalis_",1708,22290,36874
"101","Porphyromonas_canoris_",1708,23044,36875
"102","Clostridium_algidicarnis_",2820,49949,37659
"103","Candidatus_Phytoplasma_mali_",482,11257,37692
"104","Rhodococcus_opacus_",7199,145942,37919
"105","Streptococcus_equi_subsp._zooepidemicus_",1869,26363,40041
"106","Acinetobacter_junii_",3465,34074,40215
"107","Acinetobacter_sp._CIP-A165_",3355,42624,40373
"108","Lentzea_albidocapillata_",8082,139899,40571
"109","Cyanothece_sp._PCC_8801_",4304,55655,41431
"110","Rubrobacter_radiotolerans_",3161,30884,42256
"111","Halomonas_salina_",2897,42459,42565
"112","Prauserella_rugosa_",4810,83878,43354
"113","Streptomyces_wedmorensis_",8186,133581,43759
"114","Cyanothece_sp._ATCC_51142_",5221,65980,43989
"115","Streptomyces_megasporus_",5279,81368,44060
"116","Paenibacillus_durus_",4683,74414,44251
"117","Mycobacterium_avium_subsp._avium_",4438,86488,44454
"118","Mycoplasma_conjunctivae_",696,9449,45361
"119","Anabaena_sp._90_",4354,46846,46234
"120","Weissella_hellenica_",1879,27854,46256
"121","Sphingobium_chlorophenolicum_",4481,67552,46429
"122","Streptomyces_olivaceus_",7354,137859,47716
"123","Streptomyces_lydicus_",7153,78613,47763
"124","Mycobacterium_triplex_",5890,133388,47839
"125","Helicobacter_trogontum_",2229,28572,50960
