"","x"
"1","'inti1"
"2","'merr"
"3","'tao43.1"
"4","'tniq"
"5","'tnpa-2"
"6","'trac-2"
"7","aac"
"8","aac-n3-acetyltransferase"
"9","aac2'-iia"
"10","aac3"
"11","aac3-i"
"12","aac3-ia"
"13","aac3-ib"
"14","aac3-if"
"15","aac3-iia"
"16","aac3-iid"
"17","aac3-iie"
"18","aac3-iig"
"19","aac3-iv"
"20","aac3-iva"
"21","aac3-via"
"22","aac6-iic"
"23","aac6'"
"24","aac6'-31"
"25","aac6'-i"
"26","aac6'-ian"
"27","aac6'-ib"
"28","aac6'-ib-cr"
"29","aac6'-ib9"
"30","aac6'-ie"
"31","aac6'-iic"
"32","aac6'-il"
"33","aac6'-im"
"34","aaca34"
"35","aaca4"
"36","aaca4_1"
"37","aaca4_2"
"38","aacc1"
"39","aacc2"
"40","aada"
"41","aada1"
"42","aada11"
"43","aada11b"
"44","aada13"
"45","aada16"
"46","aada1b"
"47","aada2"
"48","aada4"
"49","aada5"
"50","aadb"
"51","aadd1"
"52","aaea"
"53","aaeb"
"54","aaer"
"55","aaex"
"56","aafa"
"57","aafb"
"58","aafc"
"59","aafd"
"60","aap"
"61","aar"
"62","aas"
"63","aas_1"
"64","aas_2"
"65","aas_3"
"66","aat"
"67","aata"
"68","aata-2"
"69","aatb"
"70","aatc"
"71","aatc-2"
"72","aatd"
"73","aatp"
"74","abaf"
"75","abc-f"
"76","abct4"
"77","abfa"
"78","abfb"
"79","abfb_1"
"80","abfb_2"
"81","abfb_3"
"82","abgr_2"
"83","abgr_5"
"84","abgr_6"
"85","abgt"
"86","abii"
"87","abka"
"88","abkb"
"89","abla"
"90","ablb"
"91","abpa"
"92","abpd"
"93","abpk"
"94","abpr"
"95","abpt"
"96","acac"
"97","acad"
"98","acba"
"99","acbb"
"100","acbc"
"101","acbd"
"102","acca"
"103","accb"
"104","accb-2"
"105","accc"
"106","accc-1"
"107","accc-2"
"108","accd"
"109","accd_2"
"110","accd5"
"111","acce"
"112","accf"
"113","accg"
"114","accr"
"115","acda"
"116","acds"
"117","acea"
"118","acea-2"
"119","aceb"
"120","acee"
"121","acef"
"122","acka"
"123","acna"
"124","acnb"
"125","acnd"
"126","acnm"
"127","acoa"
"128","acob"
"129","acoc"
"130","acoc_2"
"131","acor_1"
"132","acp"
"133","acpa"
"134","acpb"
"135","acph"
"136","acpm"
"137","acpp"
"138","acpp_2"
"139","acpp_3"
"140","acps"
"141","acpt"
"142","acr1"
"143","acr2"
"144","acra"
"145","acra_2"
"146","acrb"
"147","acrb_1"
"148","acrb_4"
"149","acrb_5"
"150","acrb_6"
"151","acrb_7"
"152","acrd"
"153","acre1"
"154","acrf"
"155","acrf3"
"156","acrg"
"157","acrh"
"158","acriia3"
"159","acrr"
"160","acrv"
"161","acs"
"162","acsa"
"163","acsa_2"
"164","acsf"
"165","acta"
"166","actb"
"167","actd"
"168","actiii"
"169","actp"
"170","actp_2"
"171","actp-2"
"172","acuc"
"173","acud"
"174","acvb"
"175","acyp"
"176","ada"
"177","ada_1"
"178","ada_2"
"179","adaa_1"
"180","adc"
"181","add"
"182","adda"
"183","addb"
"184","ade"
"185","ade2_1"
"186","ade2_2"
"187","adeb"
"188","adec"
"189","adei"
"190","adej"
"191","adek"
"192","ader"
"193","ades"
"194","adh"
"195","adhb"
"196","adhc"
"197","adhe"
"198","adhe_1"
"199","adhe_2"
"200","adhi_2"
"201","adhi-2"
"202","adhi-3"
"203","adhi-4"
"204","adhp"
"205","adht"
"206","adia"
"207","adic"
"208","adic_1"
"209","adic_2"
"210","adiy"
"211","adk"
"212","adk-2"
"213","adra"
"214","aega"
"215","aepx"
"216","aepy"
"217","aer"
"218","aer_1"
"219","aes"
"220","afab"
"221","afrb"
"222","afsk_1"
"223","afsk_2"
"224","afsk_3"
"225","afsr"
"226","agaa"
"227","agab"
"228","agac"
"229","agad"
"230","agae"
"231","agaf"
"232","agai"
"233","agar"
"234","agas"
"235","agav"
"236","agaw"
"237","agca"
"238","agg3a"
"239","agg3b"
"240","agg3c"
"241","agg3d"
"242","agg5a"
"243","agga"
"244","aggb"
"245","aggc"
"246","aggd"
"247","aggr"
"248","aglb"
"249","agp"
"250","agp_1"
"251","agp_2"
"252","agpa"
"253","agta"
"254","agtb"
"255","agtc"
"256","agua"
"257","agub"
"258","ahcy"
"259","ahcy-2"
"260","ahpc"
"261","ahpc_2"
"262","ahpd"
"263","ahpf"
"264","aiia"
"265","aiib"
"266","ail"
"267","aior"
"268","aios"
"269","aiox"
"270","ais_1"
"271","ais_2"
"272","alaa"
"273","alac"
"274","alae"
"275","alas"
"276","alas_2"
"277","alc"
"278","ald"
"279","alda"
"280","aldb"
"281","alia"
"282","alib"
"283","alka"
"284","alkb"
"285","alkj"
"286","allb"
"287","allc"
"288","alld"
"289","alle"
"290","alls_10"
"291","alls_2"
"292","alls_8"
"293","alp576a"
"294","alp576r"
"295","alpha-lp_1"
"296","alpha-lp_2"
"297","alr"
"298","alsa"
"299","alsb"
"300","alsc"
"301","alse"
"302","alsk"
"303","alsr"
"304","alss"
"305","alx"
"306","alx_2"
"307","amaa_2"
"308","amab"
"309","amacr"
"310","amap"
"311","amda"
"312","amia"
"313","amic_1"
"314","amic_2"
"315","amic_3"
"316","amid"
"317","amie"
"318","amie_2"
"319","amif"
"320","aml"
"321","amn"
"322","ampc"
"323","ampd"
"324","ampe"
"325","ampg"
"326","ampg_2"
"327","amph"
"328","ampr"
"329","amrb"
"330","amrs"
"331","amt"
"332","amtb"
"333","amtb_1"
"334","amtb_2"
"335","amya"
"336","amys"
"337","angn"
"338","angr"
"339","angu"
"340","anmk"
"341","anr"
"342","ansa"
"343","ansb"
"344","ansp"
"345","ant1"
"346","ant1_1"
"347","ant1_2"
"348","ant2''-ia"
"349","ant3''-ia"
"350","ant4'-i"
"351","ant6"
"352","ant9"
"353","anta"
"354","anta_5"
"355","antb"
"356","antc"
"357","aopb"
"358","aopd"
"359","aoph"
"360","aopn"
"361","aopo"
"362","aopp"
"363","apag"
"364","apah"
"365","apbc"
"366","apbe"
"367","apbe_2"
"368","apc3"
"369","apc4"
"370","aph"
"371","aph2''-i"
"372","aph2''-ia"
"373","aph2''-if"
"374","aph2''-ig"
"375","aph2''-iia"
"376","aph3'-i"
"377","aph3'-ia"
"378","aph3'-ii"
"379","aph3'-iiia"
"380","aph3'-vi"
"381","aph3'-viia"
"382","aph3'-xv"
"383","aph3''"
"384","aph3''-ib"
"385","aph4-ia"
"386","aph6-i"
"387","aph6-ic"
"388","aph6-id"
"389","aph7''-ia"
"390","apha"
"391","apha_1"
"392","apha1"
"393","apha1-iab"
"394","apno"
"395","appa"
"396","appa_2"
"397","appb"
"398","appc"
"399","apt"
"400","aqpz"
"401","aqpz2"
"402","araa"
"403","arab"
"404","arab_2"
"405","arab_3"
"406","arac"
"407","arad"
"408","arae_1"
"409","arae_2"
"410","arae_3"
"411","arag"
"412","arah"
"413","araj"
"414","arap"
"415","arc"
"416","arca"
"417","arca_2"
"418","arcb"
"419","arcb_2"
"420","arcc"
"421","arcc_2"
"422","arcc1"
"423","arcc1_2"
"424","arcd"
"425","ard-b"
"426","arda"
"427","ardb"
"428","ardc"
"429","ardc576"
"430","ardk"
"431","ardr"
"432","arfa"
"433","arfb"
"434","arga"
"435","argb"
"436","argc"
"437","arge"
"438","argf"
"439","argg"
"440","argh"
"441","argh-2"
"442","argj"
"443","argl"
"444","argo"
"445","argp"
"446","argr"
"447","argr1_2"
"448","args"
"449","args_1"
"450","args_2"
"451","args_3"
"452","argt"
"453","argt_2"
"454","argt_3"
"455","arir"
"456","arlr"
"457","arls"
"458","arna"
"459","arnb"
"460","arnb_2"
"461","arnc"
"462","arnd"
"463","arne"
"464","arnf"
"465","arnt"
"466","aroa"
"467","arob"
"468","aroc"
"469","aroc_1"
"470","aroc_2"
"471","aroc_3"
"472","aroc_4"
"473","arod"
"474","aroe"
"475","aroe_2"
"476","aroe-2"
"477","arof"
"478","arog"
"479","arog_3"
"480","aroh"
"481","arol"
"482","arop"
"483","aroq"
"484","aroq_2"
"485","arpa_1"
"486","arpa_2"
"487","arr"
"488","arr-3"
"489","arr3"
"490","arsa"
"491","arsa_1"
"492","arsa_2"
"493","arsa_3"
"494","arsa_4"
"495","arsb"
"496","arsb_2"
"497","arsc"
